优先级,类别,名称,Modbus寄存器,点位编码建议,读写类型,权限等级,单位,系数,描述,控制风险,现场只需确认,不确认的系统处理
P0,泵频率修正写点,CWP2频率修正,41314,SY-1-509-41314,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CWP3频率修正,41315,SY-1-509-41315,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CWP4频率修正,41316,SY-1-509-41316,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CWP5频率修正,41317,SY-1-509-41317,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CWP6频率修正,41318,SY-1-509-41318,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P1,频率反馈只读点,CHP1频率反馈,42001,SY-1-509-42001,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CHP2频率反馈,42002,SY-1-509-42002,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CHP3频率反馈,42003,SY-1-509-42003,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CHP4频率反馈,42004,SY-1-509-42004,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CHP5频率反馈,42005,SY-1-509-42005,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CHP6频率反馈,42006,SY-1-509-42006,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP1频率反馈,42007,SY-1-509-42007,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP2频率反馈,42008,SY-1-509-42008,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP3频率反馈,42009,SY-1-509-42009,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP4频率反馈,42010,SY-1-509-42010,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP5频率反馈,42011,SY-1-509-42011,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP6频率反馈,42012,SY-1-509-42012,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF11频率反馈,42013,SY-1-509-42013,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF12频率反馈,42014,SY-1-509-42014,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF13频率反馈,42015,SY-1-509-42015,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF14频率反馈,42016,SY-1-509-42016,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF15频率反馈,42017,SY-1-509-42017,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF16频率反馈,42018,SY-1-509-42018,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF21频率反馈,42019,SY-1-509-42019,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF22频率反馈,42020,SY-1-509-42020,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF23频率反馈,42021,SY-1-509-42021,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF24频率反馈,42022,SY-1-509-42022,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF25频率反馈,42023,SY-1-509-42023,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF26频率反馈,42024,SY-1-509-42024,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF31频率反馈,42025,SY-1-509-42025,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF32频率反馈,42026,SY-1-509-42026,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF33频率反馈,42027,SY-1-509-42027,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF34频率反馈,42028,SY-1-509-42028,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF35频率反馈,42029,SY-1-509-42029,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF36频率反馈,42030,SY-1-509-42030,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF41频率反馈,42031,SY-1-509-42031,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF42频率反馈,42032,SY-1-509-42032,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF43频率反馈,42033,SY-1-509-42033,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF44频率反馈,42034,SY-1-509-42034,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF45频率反馈,42035,SY-1-509-42035,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF46频率反馈,42036,SY-1-509-42036,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF51频率反馈,42037,SY-1-509-42037,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF52频率反馈,42038,SY-1-509-42038,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF53频率反馈,42039,SY-1-509-42039,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF54频率反馈,42040,SY-1-509-42040,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF55频率反馈,42041,SY-1-509-42041,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF56频率反馈,42042,SY-1-509-42042,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF61频率反馈,42043,SY-1-509-42043,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF62频率反馈,42044,SY-1-509-42044,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CTF63频率反馈,42045,SY-1-509-42045,R,0,Hz,0.1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CHP7频率反馈,42990,SY-1-509-42990,R,0,Hz,1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P1,频率反馈只读点,CWP7频率反馈,43002,SY-1-509-43002,R,0,Hz,1,,低-只读或未标可写,确认反馈点与现场变频器实际频率一致，系数0.1是否正确。,只作为低置信趋势证据，不用于闭环判断。
P0,启停/模式高风险写点,CH1手动启动,41001,SY-1-509-41001,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH1手动停止,41002,SY-1-509-41002,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH2手动启动,41004,SY-1-509-41004,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH2手动停止,41005,SY-1-509-41005,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH3手动启动,41007,SY-1-509-41007,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH3手动停止,41008,SY-1-509-41008,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH4手动启动,41010,SY-1-509-41010,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH4手动停止,41011,SY-1-509-41011,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH5手动启动,41013,SY-1-509-41013,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH5手动停止,41014,SY-1-509-41014,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH6手动启动,41016,SY-1-509-41016,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH6手动停止,41017,SY-1-509-41017,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP1手动启动,41019,SY-1-509-41019,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP1手动停止,41020,SY-1-509-41020,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP1手自动,41022,SY-1-509-41022,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP2手动启动,41024,SY-1-509-41024,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP2手动停止,41025,SY-1-509-41025,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP2手自动,41027,SY-1-509-41027,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP3手动启动,41029,SY-1-509-41029,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP3手动停止,41030,SY-1-509-41030,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP3手自动,41032,SY-1-509-41032,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP4手动启动,41034,SY-1-509-41034,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP4手动停止,41035,SY-1-509-41035,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP4手自动,41037,SY-1-509-41037,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP5手动启动,41039,SY-1-509-41039,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP5手动停止,41040,SY-1-509-41040,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP5手自动,41042,SY-1-509-41042,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP6手动启动,41044,SY-1-509-41044,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP6手动停止,41045,SY-1-509-41045,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP6手自动,41047,SY-1-509-41047,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP1手动启动,41049,SY-1-509-41049,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP1手动停止,41050,SY-1-509-41050,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP1手自动,41052,SY-1-509-41052,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP2手动启动,41055,SY-1-509-41055,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP2手动停止,41056,SY-1-509-41056,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP2手自动,41058,SY-1-509-41058,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP3手动启动,41061,SY-1-509-41061,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP3手动停止,41062,SY-1-509-41062,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP3手自动,41064,SY-1-509-41064,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP4手动启动,41067,SY-1-509-41067,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP4手动停止,41068,SY-1-509-41068,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP4手自动,41070,SY-1-509-41070,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP5手动启动,41073,SY-1-509-41073,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP5手动停止,41074,SY-1-509-41074,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP5手自动,41076,SY-1-509-41076,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP6手动启动,41079,SY-1-509-41079,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP6手动停止,41080,SY-1-509-41080,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP6手自动,41082,SY-1-509-41082,RW,1,,1,0手动；1自动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF11手动启动,41085,SY-1-509-41085,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF11手动停止,41086,SY-1-509-41086,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF12手动启动,41090,SY-1-509-41090,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF12手动停止,41091,SY-1-509-41091,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF13手动启动,41095,SY-1-509-41095,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF13手动停止,41096,SY-1-509-41096,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF14手动启动,41100,SY-1-509-41100,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF14手动停止,41101,SY-1-509-41101,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF15手动启动,41105,SY-1-509-41105,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF15手动停止,41106,SY-1-509-41106,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
