序号,名称,设备分类,信号角色,最后修改版本,修改类型,S7地址,S7字,数据类型,Modbus寄存器,Modbus位,描述,单位,系数,读写类型,分组,报警等级,权限等级,网关设备地址,从站地址,控制风险,点位编码建议
1702,CWP1频率反馈,冷却水泵,frequency_feedback,V3.0,,4012,4012,Int,42007,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42007
1703,CWP2频率反馈,冷却水泵,frequency_feedback,V3.0,,4014,4014,Int,42008,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42008
1704,CWP3频率反馈,冷却水泵,frequency_feedback,V3.0,,4016,4016,Int,42009,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42009
1705,CWP4频率反馈,冷却水泵,frequency_feedback,V3.0,,4018,4018,Int,42010,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42010
1706,CWP5频率反馈,冷却水泵,frequency_feedback,V3.0,,4020,4020,Int,42011,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42011
1707,CWP6频率反馈,冷却水泵,frequency_feedback,V3.0,,4022,4022,Int,42012,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42012
1708,CTF11频率反馈,冷却塔风机,frequency_feedback,V3.0,,4024,4024,Int,42013,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42013
1709,CTF12频率反馈,冷却塔风机,frequency_feedback,V3.0,,4026,4026,Int,42014,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42014
1710,CTF13频率反馈,冷却塔风机,frequency_feedback,V3.0,,4028,4028,Int,42015,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42015
1711,CTF14频率反馈,冷却塔风机,frequency_feedback,V3.0,,4030,4030,Int,42016,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42016
1712,CTF15频率反馈,冷却塔风机,frequency_feedback,V3.0,,4032,4032,Int,42017,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42017
1713,CTF16频率反馈,冷却塔风机,frequency_feedback,V3.0,,4034,4034,Int,42018,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42018
1714,CTF21频率反馈,冷却塔风机,frequency_feedback,V3.0,,4036,4036,Int,42019,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42019
1715,CTF22频率反馈,冷却塔风机,frequency_feedback,V3.0,,4038,4038,Int,42020,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42020
1716,CTF23频率反馈,冷却塔风机,frequency_feedback,V3.0,,4040,4040,Int,42021,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42021
1717,CTF24频率反馈,冷却塔风机,frequency_feedback,V3.0,,4042,4042,Int,42022,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42022
1718,CTF25频率反馈,冷却塔风机,frequency_feedback,V3.0,,4044,4044,Int,42023,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42023
1719,CTF26频率反馈,冷却塔风机,frequency_feedback,V3.0,,4046,4046,Int,42024,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42024
1720,CTF31频率反馈,冷却塔风机,frequency_feedback,V3.0,,4048,4048,Int,42025,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42025
1721,CTF32频率反馈,冷却塔风机,frequency_feedback,V3.0,,4050,4050,Int,42026,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42026
1722,CTF33频率反馈,冷却塔风机,frequency_feedback,V3.0,,4052,4052,Int,42027,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42027
1723,CTF34频率反馈,冷却塔风机,frequency_feedback,V3.0,,4054,4054,Int,42028,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42028
1724,CTF35频率反馈,冷却塔风机,frequency_feedback,V3.0,,4056,4056,Int,42029,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42029
1725,CTF36频率反馈,冷却塔风机,frequency_feedback,V3.0,,4058,4058,Int,42030,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42030
1726,CTF41频率反馈,冷却塔风机,frequency_feedback,V3.0,,4060,4060,Int,42031,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42031
1727,CTF42频率反馈,冷却塔风机,frequency_feedback,V3.0,,4062,4062,Int,42032,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42032
1728,CTF43频率反馈,冷却塔风机,frequency_feedback,V3.0,,4064,4064,Int,42033,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42033
1729,CTF44频率反馈,冷却塔风机,frequency_feedback,V3.0,,4066,4066,Int,42034,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42034
1730,CTF45频率反馈,冷却塔风机,frequency_feedback,V3.0,,4068,4068,Int,42035,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42035
1731,CTF46频率反馈,冷却塔风机,frequency_feedback,V3.0,,4070,4070,Int,42036,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42036
1732,CTF51频率反馈,冷却塔风机,frequency_feedback,V3.0,,4072,4072,Int,42037,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42037
1733,CTF52频率反馈,冷却塔风机,frequency_feedback,V3.0,,4074,4074,Int,42038,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42038
1734,CTF53频率反馈,冷却塔风机,frequency_feedback,V3.0,,4076,4076,Int,42039,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42039
1735,CTF54频率反馈,冷却塔风机,frequency_feedback,V3.0,,4078,4078,Int,42040,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42040
1736,CTF55频率反馈,冷却塔风机,frequency_feedback,V3.0,,4080,4080,Int,42041,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42041
1737,CTF56频率反馈,冷却塔风机,frequency_feedback,V3.0,,4082,4082,Int,42042,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42042
1738,CTF61频率反馈,冷却塔风机,frequency_feedback,V3.0,,4084,4084,Int,42043,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42043
1739,CTF62频率反馈,冷却塔风机,frequency_feedback,V3.0,,4086,4086,Int,42044,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42044
1740,CTF63频率反馈,冷却塔风机,frequency_feedback,V3.0,,4088,4088,Int,42045,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42045
1743,SY湿球温度,传感器/计量,temperature,V1.4,修改,4094,4094,Int,42048,,0.1℃,℃,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42048
1744,P101冷冻水一分支回水压力,传感器/计量,temperature,V3.0,,4096,4096,Int,42049,,冷冻水一分支回水压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42049
1745,P102冷冻水二分支回水压力,传感器/计量,temperature,V3.0,,4098,4098,Int,42050,,冷冻水二分支回水压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42050
1746,P103冷冻水三分支回水压力,传感器/计量,temperature,V3.0,,4100,4100,Int,42051,,冷冻水三分支回水压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42051
1747,P104冷冻总管回水压力,传感器/计量,temperature,V3.0,,4102,4102,Int,42052,,冷冻水回水总管压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42052
1748,P105冷冻总管供水压力,传感器/计量,temperature,V3.0,,4104,4104,Int,42053,,冷冻水供水总管压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42053
1749,T101冷冻总管回水温度,传感器/计量,temperature,V3.0,,4106,4106,Int,42054,,冷冻水回水总管温度,℃,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42054
1750,T102冷冻总管供水温度,传感器/计量,temperature,V3.0,,4108,4108,Int,42055,,冷冻水供水总管温度,℃,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42055
1752,P202-1至5#冷却塔冷却水回水总管压力,冷却塔风机,temperature,V3.0,,4112,4112,Int,42057,,1至5#冷却塔冷却水回水总管压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42057
1754,P204-6#冷却塔冷却水回水总管压力,冷却塔风机,temperature,V3.0,,4116,4116,Int,42059,,6#冷却塔冷却水回水总管压力,Kpa,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42059
1934,SY冷却制热功率,传感器/计量,power,V3.0,新增,4586,4586,DINT,42294,,,KW,0.1,R,冷量参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42294
2269,CH5压缩机油压差保护,冷水机组,fault_alarm,V3.0,,5260,5260,Int,42631,,,,1,R,故障参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42631
2327,SY支路1累计进水流量,传感器/计量,temperature,V3.0,修改分组,5454,5454,REAL,42728,,,m3,1,R,冷量参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42728
2333,SY支路2累计供水流量,传感器/计量,temperature,V3.0,修改分组,5478,5478,REAL,42740,,,m3,1,R,冷量参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42740
2339,SY支路3累计供水流量,传感器/计量,temperature,V3.0,修改分组,5502,5502,REAL,42752,,,m3,1,R,冷量参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42752
2342,CH1功率,冷水机组,power,V3.0,,5514,5514,REAL,42758,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42758
2343,CH1电量,冷水机组,power,V3.0,,5518,5518,REAL,42760,,,KW/h,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42760
2344,CH2功率,冷水机组,power,V3.0,,5522,5522,REAL,42762,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42762
2345,CH2电量,冷水机组,power,V3.0,,5526,5526,REAL,42764,,,KW/h,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42764
2346,CH3功率,冷水机组,power,V3.0,,5530,5530,REAL,42766,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42766
2347,CH3电量,冷水机组,power,V3.0,,5534,5534,REAL,42768,,,KW/h,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42768
2348,CH4功率,冷水机组,power,V3.0,,5538,5538,REAL,42770,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42770
2349,CH4电量,冷水机组,power,V3.0,,5542,5542,REAL,42772,,,KW/h,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42772
2350,CH5功率,冷水机组,power,V3.0,,5546,5546,REAL,42774,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42774
2351,CH5电量,冷水机组,power,V3.0,,5550,5550,REAL,42776,,,KW/h,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42776
2352,CH6功率,冷水机组,power,V3.0,,5554,5554,REAL,42778,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42778
2353,CH6电量,冷水机组,power,V3.0,,5558,5558,REAL,42780,,,KW/h,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42780
2396,CH7功率因数,冷水机组,power,V3.7,新增,5730,5730,REAL,42866,,,%,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42866
2397,CH7功率,冷水机组,power,V3.7,新增,5734,5734,REAL,42868,,,KW,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42868
2398,CH7电量,冷水机组,power,V3.7,新增,5738,5738,REAL,42870,,,KWh,1,R,电表参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42870
2458,CHP7频率反馈,冷冻水泵,frequency_feedback,V3.7,新增,5978,5978,REAL,42990,,,Hz,1,R,工艺参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42990
2460,CHP7流量,冷冻水泵,flow,V3.7,新增,5986,5986,REAL,42994,,,m3/h,1,R,工艺参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42994
2464,CWP7频率反馈,冷却水泵,frequency_feedback,V3.7,新增,6002,6002,REAL,43002,,,Hz,1,R,工艺参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-43002
2466,CWP7流量,冷却水泵,flow,V3.7,新增,6010,6010,REAL,43006,,,m3/h,1,R,工艺参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-43006
