序号,名称,设备分类,信号角色,最后修改版本,修改类型,S7地址,S7字,数据类型,Modbus寄存器,Modbus位,描述,单位,系数,读写类型,分组,报警等级,权限等级,网关设备地址,从站地址,控制风险,点位编码建议
12,FM101关到位,阀门,other,V3.0,,22,22,Int,40012,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40012
13,FM201远程,阀门,remote_status,V3.0,,24,24,Int,40013,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40013
14,FM201开到位,阀门,other,V3.0,,26,26,Int,40014,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40014
15,FM201关到位,阀门,other,V3.0,,28,28,Int,40015,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40015
16,,其他,other,V3.0,,30,30,Int,40016,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40016
17,,其他,remote_status,V3.0,,32,32,Int,40017,,1远程；0就地,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40017
18,,其他,manual_stop,V3.0,,34,34,Int,40018,,1运行；0停止,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40018
19,,报警保护,fault_alarm,V3.0,,36,36,Int,40019,,1故障；0正常,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40019
20,CHP2远程,冷冻水泵,remote_status,V3.0,,38,38,Int,40020,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40020
21,CHP2运行,冷冻水泵,manual_stop,V3.0,,40,40,Int,40021,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40021
22,CHP2故障,冷冻水泵,fault_alarm,V3.0,,42,42,Int,40022,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40022
23,CWP2远程,冷却水泵,remote_status,V3.0,,44,44,Int,40023,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40023
24,CWP2运行,冷却水泵,manual_stop,V3.0,,46,46,Int,40024,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40024
25,CWP2故障,冷却水泵,fault_alarm,V3.0,,48,48,Int,40025,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40025
26,FM102远程,阀门,remote_status,V3.0,,50,50,Int,40026,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40026
27,FM102开到位,阀门,other,V3.0,,52,52,Int,40027,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40027
28,FM102关到位,阀门,other,V3.0,,54,54,Int,40028,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40028
29,FM202远程,阀门,remote_status,V3.0,,56,56,Int,40029,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40029
30,FM202开到位,阀门,other,V3.0,,58,58,Int,40030,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40030
31,FM202关到位,阀门,other,V3.0,,60,60,Int,40031,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40031
32,,其他,other,V3.0,,62,62,Int,40032,,,,1,R,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40032
33,,其他,remote_status,V3.0,,64,64,Int,40033,,1远程；0就地,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40033
34,,其他,manual_stop,V3.0,,66,66,Int,40034,,1运行；0停止,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40034
35,,报警保护,fault_alarm,V3.0,,68,68,Int,40035,,1故障；0正常,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40035
36,CHP3远程,冷冻水泵,remote_status,V3.0,,70,70,Int,40036,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40036
37,CHP3运行,冷冻水泵,manual_stop,V3.0,,72,72,Int,40037,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40037
38,CHP3故障,冷冻水泵,fault_alarm,V3.0,,74,74,Int,40038,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40038
39,CWP3远程,冷却水泵,remote_status,V3.0,,76,76,Int,40039,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40039
40,CWP3运行,冷却水泵,manual_stop,V3.0,,78,78,Int,40040,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40040
41,CWP3故障,冷却水泵,fault_alarm,V3.0,,80,80,Int,40041,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40041
42,FM103远程,阀门,remote_status,V3.0,,82,82,Int,40042,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40042
43,FM103开到位,阀门,other,V3.0,,84,84,Int,40043,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40043
44,FM103关到位,阀门,other,V3.0,,86,86,Int,40044,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40044
45,FM203远程,阀门,remote_status,V3.0,,88,88,Int,40045,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40045
46,FM203开到位,阀门,other,V3.0,,90,90,Int,40046,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40046
47,FM203关到位,阀门,other,V3.0,,92,92,Int,40047,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40047
48,,其他,other,V3.0,,94,94,Int,40048,,,,1,R,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40048
49,,其他,remote_status,V3.0,,96,96,Int,40049,,1远程；0就地,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40049
50,,其他,manual_stop,V3.0,,98,98,Int,40050,,1运行；0停止,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40050
51,,报警保护,fault_alarm,V3.0,,100,100,Int,40051,,1故障；0正常,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40051
52,CHP4远程,冷冻水泵,remote_status,V3.0,,102,102,Int,40052,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40052
53,CHP4运行,冷冻水泵,manual_stop,V3.0,,104,104,Int,40053,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40053
54,CHP4故障,冷冻水泵,fault_alarm,V3.0,,106,106,Int,40054,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40054
55,CWP4远程,冷却水泵,remote_status,V3.0,,108,108,Int,40055,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40055
56,CWP4运行,冷却水泵,manual_stop,V3.0,,110,110,Int,40056,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40056
57,CWP4故障,冷却水泵,fault_alarm,V3.0,,112,112,Int,40057,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40057
58,FM104远程,阀门,remote_status,V3.0,,114,114,Int,40058,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40058
59,FM104开到位,阀门,other,V3.0,,116,116,Int,40059,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40059
60,FM104关到位,阀门,other,V3.0,,118,118,Int,40060,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40060
61,FM204远程,阀门,remote_status,V3.0,,120,120,Int,40061,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40061
62,FM204开到位,阀门,other,V3.0,,122,122,Int,40062,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40062
63,FM204关到位,阀门,other,V3.0,,124,124,Int,40063,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40063
64,,其他,other,V3.0,,126,126,Int,40064,,,,1,R,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40064
65,,其他,remote_status,V3.0,,128,128,Int,40065,,1远程；0就地,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40065
66,,其他,manual_stop,V3.0,,130,130,Int,40066,,1运行；0停止,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40066
67,,报警保护,fault_alarm,V3.0,,132,132,Int,40067,,1故障；0正常,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40067
68,CHP5远程,冷冻水泵,remote_status,V3.0,,134,134,Int,40068,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40068
69,CHP5运行,冷冻水泵,manual_stop,V3.0,,136,136,Int,40069,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40069
70,CHP5故障,冷冻水泵,fault_alarm,V3.0,,138,138,Int,40070,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40070
71,CWP5远程,冷却水泵,remote_status,V3.0,,140,140,Int,40071,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40071
72,CWP5运行,冷却水泵,manual_stop,V3.0,,142,142,Int,40072,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40072
73,CWP5故障,冷却水泵,fault_alarm,V3.0,,144,144,Int,40073,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40073
74,FM105远程,阀门,remote_status,V3.0,,146,146,Int,40074,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40074
75,FM105开到位,阀门,other,V3.0,,148,148,Int,40075,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40075
76,FM105关到位,阀门,other,V3.0,,150,150,Int,40076,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40076
77,FM205远程,阀门,remote_status,V3.0,,152,152,Int,40077,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40077
78,FM205开到位,阀门,other,V3.0,,154,154,Int,40078,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40078
79,FM205关到位,阀门,other,V3.0,,156,156,Int,40079,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40079
80,,其他,other,V3.0,,158,158,Int,40080,,,,1,R,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40080
81,,其他,remote_status,V3.0,,160,160,Int,40081,,1远程；0就地,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40081
82,,其他,manual_stop,V3.0,,162,162,Int,40082,,1运行；0停止,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40082
83,,报警保护,fault_alarm,V3.0,,164,164,Int,40083,,1故障；0正常,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40083
84,CHP6远程,冷冻水泵,remote_status,V3.0,,166,166,Int,40084,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40084
85,CHP6运行,冷冻水泵,manual_stop,V3.0,,168,168,Int,40085,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40085
86,CHP6故障,冷冻水泵,fault_alarm,V3.0,,170,170,Int,40086,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40086
87,CWP6远程,冷却水泵,remote_status,V3.0,,172,172,Int,40087,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40087
88,CWP6运行,冷却水泵,manual_stop,V3.0,,174,174,Int,40088,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40088
89,CWP6故障,冷却水泵,fault_alarm,V3.0,,176,176,Int,40089,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40089
90,FM106远程,阀门,remote_status,V3.0,,178,178,Int,40090,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40090
91,FM106开到位,阀门,other,V3.0,,180,180,Int,40091,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40091
92,FM106关到位,阀门,other,V3.0,,182,182,Int,40092,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40092
93,FM206远程,阀门,remote_status,V3.0,,184,184,Int,40093,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40093
94,FM206开到位,阀门,other,V3.0,,186,186,Int,40094,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40094
95,FM206关到位,阀门,other,V3.0,,188,188,Int,40095,,1全关；0未全关,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40095
96,,其他,other,V3.0,,190,190,Int,40096,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40096
97,,其他,other,V3.0,,192,192,Int,40097,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40097
98,,其他,other,V3.0,,194,194,Int,40098,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40098
99,,其他,other,V3.0,,196,196,Int,40099,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40099
100,,其他,other,V3.0,,198,198,Int,40100,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40100
101,,其他,other,V3.0,,200,200,Int,40101,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40101
102,,其他,other,V3.0,,202,202,Int,40102,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40102
103,,其他,other,V3.0,,204,204,Int,40103,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40103
104,,其他,other,V3.0,,206,206,Int,40104,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40104
105,,其他,other,V3.0,,208,208,Int,40105,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40105
106,,其他,other,V3.0,,210,210,Int,40106,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40106
107,,其他,other,V3.0,,212,212,Int,40107,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40107
108,,其他,other,V3.0,,214,214,Int,40108,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40108
109,,其他,other,V3.0,,216,216,Int,40109,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40109
110,,其他,other,V3.0,,218,218,Int,40110,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40110
111,,其他,other,V3.0,,220,220,Int,40111,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40111
112,,其他,other,V3.0,,222,222,Int,40112,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40112
113,,其他,other,V3.0,,224,224,Int,40113,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40113
114,,其他,other,V3.0,,226,226,Int,40114,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40114
115,,其他,other,V3.0,,228,228,Int,40115,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40115
116,,其他,other,V3.0,,230,230,Int,40116,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40116
117,,其他,other,V3.0,,232,232,Int,40117,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40117
118,,其他,other,V3.0,,234,234,Int,40118,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40118
119,,其他,other,V3.0,,236,236,Int,40119,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40119
120,,其他,other,V3.0,,238,238,Int,40120,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40120
121,,其他,other,V3.0,,240,240,Int,40121,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40121
122,,其他,other,V3.0,,242,242,Int,40122,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40122
123,,其他,other,V3.0,,244,244,Int,40123,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40123
124,,其他,other,V3.0,,246,246,Int,40124,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40124
125,,其他,other,V3.0,,248,248,Int,40125,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40125
126,,其他,other,V3.0,,250,250,Int,40126,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40126
127,,其他,other,V3.0,,252,252,Int,40127,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40127
128,,其他,other,V3.0,,254,254,Int,40128,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40128
129,CTF11远程,冷却塔风机,remote_status,V3.0,,256,256,Int,40129,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40129
130,,其他,other,V3.0,,258,258,Int,40130,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40130
131,CTF11运行,冷却塔风机,manual_stop,V3.0,,260,260,Int,40131,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40131
132,CTF11故障,冷却塔风机,fault_alarm,V3.0,,262,262,Int,40132,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40132
133,,其他,other,V3.0,,264,264,Int,40133,,,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40133
134,,其他,other,V3.0,,266,266,Int,40134,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40134
135,CTF12远程,冷却塔风机,remote_status,V3.0,,268,268,Int,40135,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40135
136,,其他,other,V3.0,,270,270,Int,40136,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40136
137,CTF12运行,冷却塔风机,manual_stop,V3.0,,272,272,Int,40137,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40137
138,CTF12故障,冷却塔风机,fault_alarm,V3.0,,274,274,Int,40138,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40138
139,,其他,other,V3.0,,276,276,Int,40139,,,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40139
140,,其他,other,V3.0,,278,278,Int,40140,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40140
141,CTF13远程,冷却塔风机,remote_status,V3.0,,280,280,Int,40141,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40141
142,,其他,other,V3.0,,282,282,Int,40142,,,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40142
143,CTF13运行,冷却塔风机,manual_stop,V3.0,,284,284,Int,40143,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40143
144,CTF13故障,冷却塔风机,fault_alarm,V3.0,,286,286,Int,40144,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40144
145,,其他,other,V3.0,,288,288,Int,40145,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40145
146,,其他,other,V3.0,,290,290,Int,40146,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40146
147,CTF14远程,冷却塔风机,remote_status,V3.0,,292,292,Int,40147,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40147
148,,其他,other,V3.0,,294,294,Int,40148,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40148
149,CTF14运行,冷却塔风机,manual_stop,V3.0,,296,296,Int,40149,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40149
150,CTF14故障,冷却塔风机,fault_alarm,V3.0,,298,298,Int,40150,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40150
151,,其他,other,V3.0,,300,300,Int,40151,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40151
152,,其他,other,V3.0,,302,302,Int,40152,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40152
153,CTF15远程,冷却塔风机,remote_status,V3.0,,304,304,Int,40153,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40153
154,,其他,other,V3.0,,306,306,Int,40154,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40154
155,CTF15运行,冷却塔风机,manual_stop,V3.0,,308,308,Int,40155,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40155
156,CTF15故障,冷却塔风机,fault_alarm,V3.0,,310,310,Int,40156,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40156
157,,其他,other,V3.0,,312,312,Int,40157,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40157
158,,其他,other,V3.0,,314,314,Int,40158,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40158
159,,其他,other,V3.0,,316,316,Int,40159,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40159
160,,其他,other,V3.0,,318,318,Int,40160,,,,1,R,,,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40160
161,CTF16远程,冷却塔风机,remote_status,V3.0,,320,320,Int,40161,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40161
162,,其他,other,V3.0,,322,322,Int,40162,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40162
163,CTF16运行,冷却塔风机,manual_stop,V3.0,,324,324,Int,40163,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40163
164,CTF16故障,冷却塔风机,fault_alarm,V3.0,,326,326,Int,40164,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40164
165,,其他,other,V3.0,,328,328,Int,40165,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40165
166,,其他,other,V3.0,,330,330,Int,40166,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40166
167,CTF21远程,冷却塔风机,remote_status,V3.0,,332,332,Int,40167,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40167
168,,其他,other,V3.0,,334,334,Int,40168,,,,,,,,,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40168
169,CTF21运行,冷却塔风机,manual_stop,V3.0,,336,336,Int,40169,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40169
170,CTF21故障,冷却塔风机,fault_alarm,V3.0,,338,338,Int,40170,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40170
