priority,deviceCode,deviceName,zoneTemperatureC,setpointC,running,communicationAlarm,qualityStatus,reasons,communicationAlarmTag,communicationAlarmValue,zoneTemperatureTag,zoneTemperatureValue,setpointFeedbackTag,setpointFeedbackValue,runTag,runValue,fieldActions,releaseCriteria
P1,QT01,前厅01,28,16,false,false,ok,setpoint_feedback_out_of_bounds,QT01-502-40118,0,QT01-506-40379,28.0,QT01-506-40383,16.0,QT01-502-40117,0,复核设定反馈点 QT01-506-40383，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P0,QT02,前厅02,26,26,false,true,invalid,communication_alarm,QT02-502-40122,1,QT02-506-40395,26.0,QT02-506-40399,26.0,QT02-502-40121,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 QT02-502-40122 是否仍为 1。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,QTS,洽谈室,27,21,false,false,ok,setpoint_feedback_out_of_bounds,QTS-502-40138,0,QTS-506-40459,27.0,QTS-506-40463,21.0,QTS-502-40137,0,复核设定反馈点 QTS-506-40463，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,SYS,实验室,28,19,false,false,ok,setpoint_feedback_out_of_bounds,SYS-502-40090,0,SYS-506-40267,28.0,SYS-506-40271,19.0,SYS-502-40089,0,复核设定反馈点 SYS-506-40271，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,TNFBQ01,头脑风暴区01,29,21,false,false,ok,setpoint_feedback_out_of_bounds,TNFBQ01-502-40110,0,TNFBQ01-506-40347,29.0,TNFBQ01-506-40351,21.0,TNFBQ01-502-40109,0,复核设定反馈点 TNFBQ01-506-40351，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,TNFBQ02,头脑风暴区02,29,10,true,false,ok,setpoint_feedback_out_of_bounds,TNFBQ02-502-40114,0,TNFBQ02-506-40363,29.0,TNFBQ02-506-40367,10.0,TNFBQ02-502-40113,1,复核设定反馈点 TNFBQ02-506-40367，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P0,WSJ02,卫生间02,0,0,false,true,invalid,communication_alarm；zero_temperature；invalid_temperature；temperature_quality_guard；setpoint_feedback_out_of_bounds,WSJ02-502-40130,1,WSJ02-506-40427,0.0,WSJ02-506-40431,0.0,WSJ02-502-40129,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 WSJ02-502-40130 是否仍为 1。；核对内置温度点 WSJ02-506-40427，0°C 不允许进入闭环。；补齐或修复区域温度点 WSJ02-506-40427，缺温度时禁止进入闭环。；复核设定反馈点 WSJ02-506-40431，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定；0°C 原始点恢复为有效温度
P1,XZBGS,行政办公室,27,18,true,false,ok,setpoint_feedback_out_of_bounds,XZBGS-502-40066,0,XZBGS-506-40171,27.0,XZBGS-506-40175,18.0,XZBGS-502-40065,1,复核设定反馈点 XZBGS-506-40175，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P0,ZHYS,中会议室,0,0,false,true,invalid,communication_alarm；zero_temperature；invalid_temperature；temperature_quality_guard；setpoint_feedback_out_of_bounds,ZHYS-502-40170,1,ZHYS-506-40587,0.0,ZHYS-506-40591,0.0,ZHYS-502-40169,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 ZHYS-502-40170 是否仍为 1。；核对内置温度点 ZHYS-506-40587，0°C 不允许进入闭环。；补齐或修复区域温度点 ZHYS-506-40587，缺温度时禁止进入闭环。；复核设定反馈点 ZHYS-506-40591，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定；0°C 原始点恢复为有效温度
P0,ZZBGS,周总,24,35,true,true,invalid,communication_alarm；setpoint_feedback_out_of_bounds,ZZBGS-502-40082,1,ZZBGS-506-40235,24.0,ZZBGS-506-40239,35.0,ZZBGS-502-40081,1,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 ZZBGS-502-40082 是否仍为 1。；复核设定反馈点 ZZBGS-506-40239，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
