"站点","生成时间","百益信项目ID","百益信项目","设备ID","设备名称","设备类型","系统建议用途","复核状态","业主确认用途","业主确认系统","安装位置","配电箱/回路","在线状态","开关状态","当前功率kW","累计电量kWh","功率因数","电压V","电流A","温度C","漏电流mA","诊断","控制边界","现场备注"
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","5EA5240907154304","热水器","1PNL","后勤用电","待业主确认","","","","","online","open","0","0.41","0","234.33","0","39","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","69B0240906171726","空调开关1","1PNL","空调末端","待业主确认","","","","","online","open","0.033","1358.76","0.85","234.1","0.17","42","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","AFF6240906171848","空调开关2","1PNL","空调末端","待业主确认","","","","","online","open","0.047","948.02","0.98","235.09","0.21","50","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","2269240907152428","门禁","1PNL","弱电/IT","待业主确认","","","","","online","open","0.009","137.61","0.46","235.35","0.09","49","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","A0E7240907162607","办公室灯","1PNL","照明","待业主确认","","","","","online","open","0.454","4134.81","0.64","235.66","3.03","35","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","0148240907152317","过道灯","1PNL","照明","待业主确认","","","","","online","open","0","48.29","0","235.8","0","43","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","1057240907162747","卡位灯","1PNL","照明","待业主确认","","","","","online","open","0.644","5833.84","0.6","234.15","4.6","46","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","6BB2240907152657","前台灯","1PNL","照明","待业主确认","","","","","online","open","0.015","2728.35","0.43","234.63","0.15","53","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","C30A240905093811","会议室插座","1PNL","插座","待业主确认","","","","","online","open","0.172","691.69","0.94","233.75","0.79","39","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","ED34240907153704","卡1插座","1PNL","插座","待业主确认","","","","","online","open","0","21.62","0","234.03","0","48","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","569D240907154544","卡2插座","1PNL","插座","待业主确认","","","","","online","open","0","23.88","0","235.07","0","36","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","AAF1240907153500","卡3插座","1PNL","插座","待业主确认","","","","","online","open","0","376.96","0","234.27","0","39","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","2C73240906171023","卡4插座","1PNL","插座","待业主确认","","","","","online","open","0.006","499.67","0.34","233.58","0.08","54","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","1F66240906171617","卡5插座","1PNL","插座","待业主确认","","","","","online","open","0","12.37","0","233.5","0","36","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","C910240906165438","刘总插座","1PNL","插座","待业主确认","","","","","online","open","0.011","594.95","0.21","234.75","0.24","33","1.41","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","5299240906172430","墙面插座","1PNL","插座","待业主确认","","","","","online","open","0.077","828.6","0.54","233.93","0.62","36","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","3D84240905093703","厨房","1PNL","后勤用电","需复核诊断","","","","","online","open","0.044","1001.77","0.34","233.37","0.57","52","1.62","功率因数偏低","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","61A8240906171956","空调（右）","1PNL","空调末端","待业主确认","","","","","online","open","0","445.87","0","234.68","0","35","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","488F240906172648","空调（左）","1PNL","空调末端","待业主确认","","","","","online","open","0","816.4","0","234.06","0","44","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","94DB240906171141","交换机","1PNL","弱电/IT","待业主确认","","","","","online","open","0.079","1368.02","0.51","234.94","0.67","50","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","367D240907153812","办公室灯","1PNL","照明","待业主确认","","","","","online","open","0","562.74","0","233.32","0","51","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","2F76240907154801","大会议室灯","1PNL","照明","待业主确认","","","","","online","open","0","153.08","0","234.71","0","51","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","3178240907153242","卡位灯","1PNL","照明","待业主确认","","","","","online","open","0","2125.26","0","233.82","0","43","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P241010001","盛世绿能过道","458C240907152208","应急灯","1PNL","照明","待业主确认","","","","","online","open","0.005","73.99","0.44","233.59","0.06","50","0","","read_only_no_open_close_no_scene_execute",""
